time,ram_usage_GB,ram_utilization_percent,cpu_utilization_percent
2025-08-17_21-49-03,7.485515594482422,47.0,28.8
2025-08-17_21-49-04,7.357120513916016,46.2,88.2
2025-08-17_21-49-05,7.411014556884766,46.6,89.5
2025-08-17_21-49-07,7.402153015136719,46.5,79.5
2025-08-17_21-49-08,7.3796539306640625,46.4,83.5
2025-08-17_21-49-09,7.3796234130859375,46.4,82.7
2025-08-17_21-49-10,8.149250030517578,51.2,38.6
2025-08-17_21-49-11,8.165935516357422,51.3,29.8
2025-08-17_21-49-12,8.180400848388672,51.4,31.1
2025-08-17_21-49-13,8.255001068115234,51.9,82.7
2025-08-17_21-49-14,8.255847930908203,51.9,81.5
2025-08-17_21-49-15,8.254108428955078,51.9,81.8
2025-08-17_21-49-16,8.24740982055664,51.8,84.6
2025-08-17_21-49-17,8.23342514038086,51.7,82.7
2025-08-17_21-49-18,8.23238754272461,51.7,94.0
2025-08-17_21-49-19,8.216968536376953,51.6,96.5
2025-08-17_21-49-20,8.216964721679688,51.6,94.5
2025-08-17_21-49-21,8.216941833496094,51.6,97.1
2025-08-17_21-49-22,8.216922760009766,51.6,81.9
2025-08-17_21-49-23,8.21627426147461,51.6,82.7
2025-08-17_21-49-24,8.280696868896484,52.0,92.9
2025-08-17_21-49-25,8.281253814697266,52.0,97.7
2025-08-17_21-49-26,8.281822204589844,52.0,97.9
2025-08-17_21-49-27,8.274833679199219,52.0,99.0
2025-08-17_21-49-28,8.277774810791016,52.0,98.7
2025-08-17_21-49-29,8.278648376464844,52.0,98.8
2025-08-17_21-49-30,8.350662231445312,52.5,98.1
2025-08-17_21-49-31,8.588203430175781,54.0,99.0
2025-08-17_21-49-32,8.768787384033203,55.1,99.4
2025-08-17_21-49-33,8.291385650634766,52.1,99.2
2025-08-17_21-49-34,7.929492950439453,49.8,98.5
2025-08-17_21-49-35,7.453800201416016,46.8,98.9
2025-08-17_21-49-36,7.116168975830078,44.7,98.4
2025-08-17_21-49-37,6.810649871826172,42.8,99.6
2025-08-17_21-49-38,6.5618438720703125,41.2,93.9
2025-08-17_21-49-39,6.393440246582031,40.2,93.9
2025-08-17_21-49-40,6.385768890380859,40.1,97.1
2025-08-17_21-49-41,6.386829376220703,40.1,95.4
2025-08-17_21-49-42,6.3865966796875,40.1,95.5
2025-08-17_21-49-43,6.3859100341796875,40.1,94.4
2025-08-17_21-49-44,6.386604309082031,40.1,95.8
2025-08-17_21-49-45,6.385707855224609,40.1,93.0
2025-08-17_21-49-46,6.385288238525391,40.1,96.5
2025-08-17_21-49-47,6.382942199707031,40.1,97.5
2025-08-17_21-49-48,6.385227203369141,40.1,98.2
2025-08-17_21-49-49,6.386920928955078,40.1,98.3
2025-08-17_21-49-50,6.387172698974609,40.1,86.4
2025-08-17_21-49-51,6.390159606933594,40.2,96.9
2025-08-17_21-49-52,6.395923614501953,40.2,94.0
2025-08-17_21-49-53,6.397708892822266,40.2,95.4
2025-08-17_21-49-54,6.399555206298828,40.2,97.5
2025-08-17_21-49-55,6.399074554443359,40.2,98.1
2025-08-17_21-49-56,6.401271820068359,40.2,98.0
2025-08-17_21-49-57,6.401512145996094,40.2,95.9
2025-08-17_21-49-58,6.401393890380859,40.2,95.9
2025-08-17_21-49-59,6.403682708740234,40.2,96.2
2025-08-17_21-50-00,6.458560943603516,40.6,96.7
2025-08-17_21-50-01,6.4485321044921875,40.5,93.3
2025-08-17_21-50-02,6.444862365722656,40.5,93.8
2025-08-17_21-50-03,6.444061279296875,40.5,95.4
2025-08-17_21-50-04,6.444950103759766,40.5,98.3
2025-08-17_21-50-05,6.438350677490234,40.5,98.1
2025-08-17_21-50-06,6.438045501708984,40.5,98.3
2025-08-17_21-50-07,6.4276580810546875,40.4,94.3
2025-08-17_21-50-08,6.427833557128906,40.4,96.5
2025-08-17_21-50-09,6.424861907958984,40.4,95.1
2025-08-17_21-50-10,6.424674987792969,40.4,96.7
2025-08-17_21-50-11,6.423236846923828,40.4,98.2
2025-08-17_21-50-12,6.423820495605469,40.4,96.4
2025-08-17_21-50-13,6.422512054443359,40.4,96.4
2025-08-17_21-50-14,6.422340393066406,40.4,94.9
2025-08-17_21-50-15,6.425350189208984,40.4,95.2
2025-08-17_21-50-16,6.430187225341797,40.4,96.1
2025-08-17_21-50-17,6.4324951171875,40.4,95.7
2025-08-17_21-50-18,6.435222625732422,40.4,94.9
2025-08-17_21-50-19,6.429065704345703,40.4,95.9
2025-08-17_21-50-20,6.434558868408203,40.4,98.4
2025-08-17_21-50-21,6.434192657470703,40.4,97.7
2025-08-17_21-50-22,6.432701110839844,40.4,98.4
2025-08-17_21-50-23,6.431934356689453,40.4,96.9
2025-08-17_21-50-24,6.433246612548828,40.4,94.8
2025-08-17_21-50-25,6.433246612548828,40.4,94.1
2025-08-17_21-50-26,6.433238983154297,40.4,97.1
2025-08-17_21-50-27,6.433677673339844,40.4,98.6
2025-08-17_21-50-28,6.434177398681641,40.4,98.7
2025-08-17_21-50-29,6.434173583984375,40.4,98.3
2025-08-17_21-50-30,6.433906555175781,40.4,96.6
2025-08-17_21-50-31,6.433708190917969,40.4,95.0
