Date,Value
2025-01-01,120.914
2025-01-02,116.88
2025-01-03,122.251
2025-01-04,122.822
2025-01-05,114.147
2025-01-06,116.093
2025-01-07,120.384
2025-01-08,119.051
2025-01-09,119.95
2025-01-10,117.441
2025-01-11,122.638
2025-01-12,122.333
2025-01-13,120.198
2025-01-14,123.382
2025-01-15,121.403
2025-01-16,117.422
2025-01-17,121.106
2025-01-18,117.123
2025-01-19,122.635
2025-01-20,119.85
2025-01-21,119.445
2025-01-22,117.957
2025-01-23,123.668
2025-01-24,119.536
2025-01-25,118.715
2025-01-26,118.944
2025-01-27,121.597
2025-01-28,121.096
2025-01-29,121.238
2025-01-30,121.292
2025-01-31,126.425
2025-02-01,118.781
2025-02-02,118.463
2025-02-03,117.559
2025-02-04,121.848
2025-02-05,123.387
2025-02-06,119.658
2025-02-07,117.48
2025-02-08,117.527
2025-02-09,121.952
2025-02-10,122.23
2025-02-11,121.629
2025-02-12,118.003
2025-02-13,120.696
2025-02-14,120.35
2025-02-15,120.656
2025-02-16,122.614
2025-02-17,120.671
2025-02-18,122.037
2025-02-19,120.203
2025-02-20,120.867
2025-02-21,121.894
2025-02-22,115.629
2025-02-23,119.041
2025-02-24,118.589
2025-02-25,118.083
2025-02-26,119.175
2025-02-27,124.485
2025-02-28,117.403
2025-03-01,122.905
2025-03-02,114.951
2025-03-03,118.995
2025-03-04,120.488
2025-03-05,121.759
2025-03-06,122.134
2025-03-07,122.38
2025-03-08,118.954
2025-03-09,118.613
2025-03-10,122.574
2025-03-11,119.426
2025-03-12,116.173
2025-03-13,116.6
2025-03-14,117.242
2025-03-15,121.491
2025-03-16,120.427
2025-03-17,122.071
2025-03-18,118.718
2025-03-19,120.476
2025-03-20,121.877
2025-03-21,119.072
2025-03-22,121.37
2025-03-23,118.014
2025-03-24,118.911
2025-03-25,118.855
2025-03-26,116.412
2025-03-27,121.461
2025-03-28,118.592
2025-03-29,120.037
2025-03-30,121.442
2025-03-31,121.34
2025-04-01,106.996
2025-04-02,104.705
2025-04-03,103.73
2025-04-04,104.761
2025-04-05,99.938
2025-04-06,100.659
2025-04-07,101.032
2025-04-08,102.008
2025-04-09,106.199
2025-04-10,102.284
2025-04-11,103.866
2025-04-12,108.898
2025-04-13,103.931
2025-04-14,107.213
2025-04-15,102.199
2025-04-16,104.384
2025-04-17,102.15
2025-04-18,103.983
2025-04-19,107.521
2025-04-20,99.818
2025-04-21,106.303
2025-04-22,105.713
2025-04-23,103.218
2025-04-24,100.662
2025-04-25,105.216
2025-04-26,103.412
2025-04-27,105.698
2025-04-28,105.066
2025-04-29,109.805
2025-04-30,104.282
2025-05-01,101.93
2025-05-02,105.538
2025-05-03,105.66
2025-05-04,109.078
2025-05-05,107.505
2025-05-06,106.071
2025-05-07,109.39
2025-05-08,101.434
2025-05-09,103.081
2025-05-10,102.22
2025-05-11,103.831
2025-05-12,100.87
2025-05-13,106.905
2025-05-14,104.333
2025-05-15,100.588
2025-05-16,101.953
2025-05-17,105.941
2025-05-18,107.514
2025-05-19,110.99
2025-05-20,113.742
2025-05-21,106.243
2025-05-22,102.031
2025-05-23,98.604
2025-05-24,105.803
2025-05-25,102.561
