Date,Value
2025-01-01,52.963
2025-01-02,48.713
2025-01-03,48.755
2025-01-04,51.005
2025-01-05,52.489
2025-01-06,51.023
2025-01-07,53.858
2025-01-08,53.114
2025-01-09,53.284
2025-01-10,52.908
2025-01-11,56.655
2025-01-12,51.79
2025-01-13,48.393
2025-01-14,55.809
2025-01-15,51.885
2025-01-16,53.216
2025-01-17,55.819
2025-01-18,50.195
2025-01-19,51.097
2025-01-20,50.597
2025-01-21,52.412
2025-01-22,55.079
2025-01-23,55.448
2025-01-24,55.153
2025-01-25,51.974
2025-01-26,50.38
2025-01-27,55.309
2025-01-28,54.456
2025-01-29,56.519
2025-01-30,57.204
2025-01-31,56.276
2025-02-01,57.72
2025-02-02,56.858
2025-02-03,57.66
2025-02-04,55.391
2025-02-05,56.641
2025-02-06,57.594
2025-02-07,59.041
2025-02-08,56.813
2025-02-09,58.842
2025-02-10,57.468
2025-02-11,57.965
2025-02-12,60.059
2025-02-13,54.614
2025-02-14,56.207
2025-02-15,56.036
2025-02-16,54.533
2025-02-17,58.043
2025-02-18,61.099
2025-02-19,59.23
2025-02-20,60.396
2025-02-21,62.378
2025-02-22,63.055
2025-02-23,60.462
2025-02-24,63.507
2025-02-25,61.184
2025-02-26,59.525
2025-02-27,60.211
2025-02-28,58.639
2025-03-01,60.024
2025-03-02,61.284
2025-03-03,63.807
2025-03-04,65.842
2025-03-05,59.836
2025-03-06,63.586
2025-03-07,60.919
2025-03-08,64.149
2025-03-09,63.138
2025-03-10,59.938
2025-03-11,65.657
2025-03-12,62.79
2025-03-13,63.132
2025-03-14,62.26
2025-03-15,63.291
2025-03-16,65.656
2025-03-17,64.622
2025-03-18,65.857
2025-03-19,66.124
2025-03-20,68.241
2025-03-21,65.114
2025-03-22,63.046
2025-03-23,68.334
2025-03-24,65.737
2025-03-25,68.829
2025-03-26,67.567
2025-03-27,66.738
2025-03-28,67.898
2025-03-29,71.302
2025-03-30,71.754
2025-03-31,67.939
2025-04-01,68.32
2025-04-02,70.352
2025-04-03,66.709
2025-04-04,69.266
2025-04-05,68.748
2025-04-06,69.628
2025-04-07,67.533
2025-04-08,66.221
2025-04-09,65.454
2025-04-10,67.565
2025-04-11,69.083
2025-04-12,69.614
2025-04-13,74.274
2025-04-14,72.812
2025-04-15,68.876
2025-04-16,71.695
2025-04-17,70.386
2025-04-18,70.831
2025-04-19,71.971
2025-04-20,73.038
2025-04-21,71.321
2025-04-22,74.328
2025-04-23,70.116
2025-04-24,72.613
2025-04-25,77.995
2025-04-26,73.446
2025-04-27,76.066
2025-04-28,73.583
2025-04-29,74.762
2025-04-30,73.686
2025-05-01,73.659
2025-05-02,72.641
2025-05-03,75.261
2025-05-04,72.897
2025-05-05,76.131
2025-05-06,77.171
2025-05-07,75.933
2025-05-08,74.828
2025-05-09,76.508
2025-05-10,75.183
2025-05-11,77.871
2025-05-12,72.537
2025-05-13,75.729
2025-05-14,72.618
2025-05-15,73.81
2025-05-16,79.728
2025-05-17,78.99
2025-05-18,75.961
2025-05-19,74.595
2025-05-20,71.871
2025-05-21,76.913
2025-05-22,83.041
2025-05-23,79.27
2025-05-24,77.481
2025-05-25,79.73
2025-05-26,75.878
2025-05-27,78.605
2025-05-28,79.599
2025-05-29,79.428
2025-05-30,81.382
2025-05-31,80.689
2025-06-01,81.537
2025-06-02,79.023
2025-06-03,82.396
2025-06-04,84.058
2025-06-05,79.06
2025-06-06,79.425
2025-06-07,84.072
2025-06-08,81.217
2025-06-09,84.608
2025-06-10,81.115
2025-06-11,85.11
2025-06-12,82.663
2025-06-13,83.116
2025-06-14,85.929
2025-06-15,82.276
2025-06-16,81.318
2025-06-17,82.503
2025-06-18,84.505
2025-06-19,80.668
2025-06-20,85.275
2025-06-21,83.122
2025-06-22,86.696
2025-06-23,79.811
2025-06-24,83.227
2025-06-25,81.627
2025-06-26,83.548
2025-06-27,85.895
2025-06-28,85.242
2025-06-29,85.293
2025-06-30,85.682
2025-07-01,86.607
2025-07-02,84.383
2025-07-03,88.014
2025-07-04,88.125
2025-07-05,87.77
2025-07-06,88.313
2025-07-07,87.993
2025-07-08,91.67
2025-07-09,87.626
2025-07-10,87.386
2025-07-11,86.693
2025-07-12,86.335
2025-07-13,86.111
2025-07-14,87.022
2025-07-15,88.859
2025-07-16,89.869
2025-07-17,89.502
2025-07-18,88.069
2025-07-19,91.6
2025-07-20,91.479
2025-07-21,89.881
2025-07-22,89.094
2025-07-23,91.697
2025-07-24,91.176
2025-07-25,88.104
2025-07-26,91.064
2025-07-27,91.924
2025-07-28,89.801
2025-07-29,92.18
2025-07-30,89.09
2025-07-31,94.872
2025-08-01,94.896
2025-08-02,92.095
2025-08-03,93.527
2025-08-04,88.18
2025-08-05,90.887
2025-08-06,92.812
2025-08-07,91.456
2025-08-08,95.229
2025-08-09,97.995
2025-08-10,91.847
2025-08-11,92.725
2025-08-12,95.071
2025-08-13,98.022
2025-08-14,92.555
2025-08-15,95.698
2025-08-16,99.043
2025-08-17,92.296
2025-08-18,93.238
2025-08-19,95.153
2025-08-20,95.159
2025-08-21,98.025
2025-08-22,97.083
2025-08-23,93.25
2025-08-24,98.031
2025-08-25,96.045
2025-08-26,99.949
2025-08-27,96.345
2025-08-28,96.527
2025-08-29,99.082
2025-08-30,99.726
2025-08-31,99.296
2025-09-01,95.229
2025-09-02,99.876
2025-09-03,96.931
2025-09-04,99.671
2025-09-05,96.553
2025-09-06,100.493
2025-09-07,98.187
2025-09-08,97.435
2025-09-09,101.628
2025-09-10,100.883
2025-09-11,99.372
2025-09-12,103.702
2025-09-13,100.119
2025-09-14,101.264
2025-09-15,101.938
2025-09-16,100.361
2025-09-17,102.742
2025-09-18,100.933
2025-09-19,101.377
2025-09-20,105.125
2025-09-21,100.519
2025-09-22,97.974
2025-09-23,106.222
2025-09-24,108.299
2025-09-25,102.589
2025-09-26,99.726
2025-09-27,103.179
2025-09-28,103.428
2025-09-29,103.82
2025-09-30,102.173
2025-10-01,105.759
2025-10-02,105.849
2025-10-03,102.011
2025-10-04,106.598
2025-10-05,109.505
2025-10-06,105.944
2025-10-07,105.125
2025-10-08,105.716
2025-10-09,107.431
2025-10-10,102.939
2025-10-11,106.929
2025-10-12,106.019
2025-10-13,110.696
2025-10-14,106.852
2025-10-15,110.736
2025-10-16,105.393
2025-10-17,108.975
2025-10-18,108.639
2025-10-19,106.462
2025-10-20,108.755
2025-10-21,111.025
2025-10-22,108.152
2025-10-23,105.616
2025-10-24,109.165
2025-10-25,107.595
2025-10-26,108.915
2025-10-27,109.637
2025-10-28,106.589
2025-10-29,106.969
2025-10-30,111.364
2025-10-31,109.555
2025-11-01,105.671
2025-11-02,112.57
2025-11-03,111.745
2025-11-04,109.972
2025-11-05,108.966
2025-11-06,113.472
2025-11-07,112.699
2025-11-08,116.965
2025-11-09,113.24
2025-11-10,113.375
2025-11-11,112.466
2025-11-12,114.634
2025-11-13,114.45
2025-11-14,115.903
2025-11-15,112.557
2025-11-16,112.929
2025-11-17,113.042
2025-11-18,115.782
2025-11-19,117.397
2025-11-20,113.682
2025-11-21,113.95
2025-11-22,115.628
2025-11-23,114.708
2025-11-24,117.304
2025-11-25,111.096
2025-11-26,114.147
2025-11-27,114.435
2025-11-28,111.559
2025-11-29,114.473
2025-11-30,114.77
2025-12-01,116.398
2025-12-02,119.226
2025-12-03,116.71
2025-12-04,115.338
2025-12-05,117.486
2025-12-06,119.898
2025-12-07,116.048
2025-12-08,116.379
2025-12-09,119.517
2025-12-10,118.157
2025-12-11,120.095
2025-12-12,118.973
2025-12-13,120.603
2025-12-14,117.33
2025-12-15,119.576
2025-12-16,119.379
2025-12-17,117.568
2025-12-18,117.073
2025-12-19,121.771
2025-12-20,119.898
2025-12-21,118.755
2025-12-22,120.808
2025-12-23,123.456
2025-12-24,116.839
2025-12-25,118.607
2025-12-26,119.954
2025-12-27,124.922
2025-12-28,122.765
2025-12-29,123.935
2025-12-30,120.32
2025-12-31,120.561
